ticker,nt_currency,exchange_name,nt_country_name,nt_bloomberg_code,nt_bloomberg_id
ZOZO INC,JPY,TOKYO,JAPAN,3092 JT,BBG000TW0FS3
SHERWIN-WILLIAMS CO/THE,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),SHW UN,BBG000BSXT78
BUILDERS FIRSTSOURCE INC,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),BLDR UN,BBG000BKD5G9
ALCON INC,CHF,SIX Swiss Exchange,SWITZERLAND,ALC SE,BBG00NPWGYL6
FACTSET RESEARCH SYSTEMS INC,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),FDS UN,BBG000BDJMS9
SAGE GROUP PLC/THE,GBP,LSE SETS,GREAT-BRITAIN,SGE LN,BBG000BN0PP3
PAYLOCITY HOLDING CORP,USD,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),PCTY UW,BBG0065997T5
LKQ CORP,USD,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),LKQ UW,BBG000PXDRY8
HENKEL AG & CO KGAA VOR-PREF,EUR,XETRA FRANKFURT,GERMANY,HEN3 GY,BBG000BC3BJ2
TESLA INC,USD,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),TSLA UW,BBG000N9P426
TOBU RAILWAY CO LTD,JPY,TOKYO,JAPAN,9001 JT,BBG000BGYRL1
ELEVANCE HEALTH INC,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),ELV UN,BBG000BCGBK6
SYSMEX CORP,JPY,TOKYO,JAPAN,6869 JT,BBG000C2SFJ7
IGO LTD,AUD,AUSTRALIAN S.E.,AUSTRALIA,IGO AT,BBG000BB1C77
PNC FINANCIAL SERVICES GROUP,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),PNC UN,BBG000BRD2F2
QBE INSURANCE GROUP LTD,AUD,AUSTRALIAN S.E.,AUSTRALIA,QBE AT,BBG000BB1VZ4
RB GLOBAL INC,CAD,TSX Toronto Stock Exchange,CANADA,RBA CT,BBG000G0LP57
ARGENX SE,EUR,EURONEXT BRUSSELS,NETHERLANDS,ARGX BB,BBG006MF2DW2
HUNT (JB) TRANSPRT SVCS INC,USD,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),JBHT UW,BBG000BMDQK4
SONY GROUP CORP,JPY,TOKYO,JAPAN,6758 JT,BBG000C26FH3
ADOBE INC,USD,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),ADBE UW,BBG000BB5BP5
FIDELITY NATIONAL INFO SERV,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),FIS UN,BBG000BK2H93
SVENSKA CELLULOSA AB SCA-B,SEK,STOCKHOLM,SWEDEN,SCAB SS,BBG000BCCG29
JULIUS BAER GROUP LTD,CHF,SIX Swiss Exchange,SWITZERLAND,BAER SE,BBG00HCY7SK3
RIVIAN AUTOMOTIVE INC-A,USD,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),RIVN UW,BBG00741Y1N2
BECTON DICKINSON AND CO,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),BDX UN,BBG000BD00Y0
