nt_date,nt_fund_code,nt_description,nt_currency,nt_gti_code,nt_exchange_name,nt_country_name,nt_bloomberg_code,nt_bloomberg_id,nt_quantity,nt_price
2/22/2024,NGT6144,ZOZO INC,JPY,S01,,JAPAN,,BBG000TW0FS3,28500,10194
2/22/2024,NGT6144,SEIKO EPSON CORP,JPY,S01,,JAPAN,,BBG000PRVGV8,44700,7284
2/22/2024,NGT6144,STERIS PLC,USD,S01,,IRELAND,,BBG00MS1B700,14106,698.55
2/22/2024,NGT2754,SHERWIN-WILLIAMS CO/THE,USD,S01,,UNITED-STATES (U.S.A.),,BBG000BSXT78,11547,942.87
2/22/2024,NGT2754,BUILDERS FIRSTSOURCE INC,USD,S01,,UNITED-STATES (U.S.A.),,BBG000BKD5G9,3843,550.98
2/22/2024,NGT2754,ALCON INC,CHF,S01,,SWITZERLAND,,BBG00NPWGYL6,24876,207.3
2/22/2024,NGT2754,FACTSET RESEARCH SYSTEMS INC,USD,S01,,UNITED-STATES (U.S.A.),,BBG000BDJMS9,4371,1360.05
2/22/2024,NGT2754,SAGE GROUP PLC/THE,GBP,S01,,GREAT-BRITAIN,,BBG000BN0PP3,176976,35.235
2/22/2024,NGT2754,PAYLOCITY HOLDING CORP,USD,S01,,UNITED-STATES (U.S.A.),,BBG0065997T5,4161,520.35
2/22/2024,NGT2754,LKQ CORP,USD,S01,,UNITED-STATES (U.S.A.),,BBG000PXDRY8,50337,150.96
2/22/2024,NGT2754,HENKEL AG & CO KGAA VOR-PREF,EUR,S09,,GERMANY,,BBG000BC3BJ2,8019,213.78
2/22/2024,NGT2754,TESLA INC,USD,S01,,UNITED-STATES (U.S.A.),,BBG000N9P426,37029,584.31
2/22/2024,NGT2754,TOBU RAILWAY CO LTD,JPY,S01,,JAPAN,,BBG000BGYRL1,38400,11469
2/22/2024,NGT2754,ELEVANCE HEALTH INC,USD,S01,,UNITED-STATES (U.S.A.),,BBG000BCGBK6,6165,1528.14
2/22/2024,NGT2754,SYSMEX CORP,JPY,S01,,JAPAN,,BBG000C2SFJ7,16500,23670
2/22/2024,NGT2754,IGO LTD,AUD,S01,,AUSTRALIA,,BBG000BB1C77,101559,21.18
2/22/2024,NGT2754,PNC FINANCIAL SERVICES GROUP,USD,S01,,UNITED-STATES (U.S.A.),,BBG000BRD2F2,22716,439.71
2/22/2024,NGT2754,QBE INSURANCE GROUP LTD,AUD,S01,,AUSTRALIA,,BBG000BB1VZ4,73614,50.43
2/22/2024,NGT2754,RB GLOBAL INC,CAD,S01,,CANADA,,BBG000G0LP57,8370,270.09
2/22/2024,NGT2754,ARGENX SE,EUR,S01,,NETHERLANDS,,BBG006MF2DW2,1707,1109.7
2/22/2024,NGT2754,HUNT (JB) TRANSPRT SVCS INC,USD,S01,,UNITED-STATES (U.S.A.),,BBG000BMDQK4,10440,609.54
2/22/2024,NGT2754,SONY GROUP CORP,JPY,S01,,JAPAN,,BBG000C26FH3,35100,39555
2/22/2024,NGT2754,ADOBE INC,USD,S01,,UNITED-STATES (U.S.A.),,BBG000BB5BP5,10533,1615.56
2/22/2024,NGT2754,FIDELITY NATIONAL INFO SERV,USD,S01,,UNITED-STATES (U.S.A.),,BBG000BK2H93,21615,190.35
2/22/2024,NGT2754,SVENSKA CELLULOSA AB SCA-B,SEK,S01,,SWEDEN,,BBG000BCCG29,42051,428.7
2/22/2024,NGT2754,JULIUS BAER GROUP LTD,CHF,S01,,SWITZERLAND,,BBG00HCY7SK3,9183,144.33
2/22/2024,NGT2754,RIVIAN AUTOMOTIVE INC-A,USD,S01,,UNITED-STATES (U.S.A.),,BBG00741Y1N2,41346,46.17
2/22/2024,NGT2754,BECTON DICKINSON AND CO,USD,S01,,UNITED-STATES (U.S.A.),,BBG000BD00Y0,20232,735.96
2/22/2024,NGT2754,DHL GROUP,EUR,S01,,GERMANY,,BBG000LW3NX5,9060,129.3
2/22/2024,NGT2754,OMRON CORP,JPY,S01,,JAPAN,,BBG000BGJDG5,38100,17187
2/22/2024,NGT2754,CARL ZEISS MEDITEC AG - BR,EUR,S01,,GERMANY,,BBG000C7X5F6,2193,330.75
2/22/2024,NGT2754,DEXUS/AU,AUD,S62,,AUSTRALIA,,BBG011KHG491,187734,22.41
2/22/2024,NGT2754,PPG INDUSTRIES INC,USD,S01,,UNITED-STATES (U.S.A.),,BBG000BRJ952,18705,427.95
2/22/2024,NGT2754,METRO INC/CN,CAD,S01,,CANADA,,BBG000BZNTN5,50670,213.66
2/22/2024,NGT2754,TERNA-RETE ELETTRICA NAZIONA,EUR,S01,,ITALY,,BBG000BBM454,297510,22.62
2/22/2024,NGT2754,COOPER COS INC/THE,USD,S01,,UNITED-STATES (U.S.A.),,BBG000BG3445,34884,294.24
2/22/2024,NGT2754,IQVIA HOLDINGS INC,USD,S01,,UNITED-STATES (U.S.A.),,BBG0044K3GK1,17358,711.84
2/22/2024,NGT6144,AMPLIFON SPA,EUR,S01,,ITALY,,BBG000FZG9K6,22191,94.38
2/22/2024,NGT6144,TDK CORP,JPY,S01,,JAPAN,,BBG000C26MZ8,27900,23139
2/22/2024,NGT6144,TORO CO,USD,S01,,UNITED-STATES (U.S.A.),,BBG000BVQTN1,6627,279.27
2/22/2024,NGT6144,ELIA GROUP SA/NV,EUR,S01,,BELGIUM,,BBG000KR9Z28,5994,309
